filename,type_id,n,week,day
2013p202sy.pdf,1,,,
2013p202lw01.pdf,2,1,2,0
2013p202lw02.pdf,2,2,3,0
2013p202lw03.pdf,2,3,4,0
2013p202lw04.pdf,2,4,6,0
2013p202lw05.pdf,2,5,7,0
2013p202lw06.pdf,2,6,8,0
2013p202lw07.pdf,2,7,9,0
2013p202lf01.pdf,3,1,2,0
2013p202lf02.pdf,3,2,3,0
2013p202lf03.pdf,3,3,4,0
2013p202lf04.pdf,3,4,6,0
2013p202lf05.pdf,3,5,7,0
2013p202lf06.pdf,3,6,8,0
2013p202lf07.pdf,3,7,9,0
2013p202ls01.ppt,4,1,1,0
2013p202ls02.ppt,4,2,1,2
2013p202ls03.ppt,4,3,2,2
2013p202ls04.ppt,4,4,3,2
2013p202ls05.ppt,4,5,4,2
2013p202ls06.ppt,4,6,5,0
2013p202ls07.ppt,4,7,6,2
2013p202ls08.ppt,4,8,7,2
2013p202ls09.ppt,4,9,8,2
2013p202ls10.ppt,4,10,9,2
2013p202ls11.ppt,4,11,10,2
2013p202ln01.pdf,6,1,1,0
2013p202ln02.pdf,6,2,1,2
2013p202ln03.pdf,6,3,2,2
2013p202ln04.pdf,6,4,3,2
2013p202ln05.pdf,6,5,4,2
2013p202ln06.pdf,6,6,5,0
2013p202ln07.pdf,6,7,6,2
2013p202ln08.pdf,6,8,7,2
2013p202ln09.pdf,6,9,8,2
2013p202ln10.pdf,6,10,9,2
2013p202ln11.pdf,6,11,10,2
2013p202qp01.pdf,9,1,2,0
2013p202qp02.pdf,9,2,3,0
2013p202qp03.pdf,9,3,4,0
2013p202qp04.pdf,9,4,6,0
2013p202qp05.pdf,9,5,7,0
2013p202qp06.pdf,9,6,8,0
2013p202qp07.pdf,9,7,9,0
2013p202qp08.pdf,9,8,10,0
2013p202xp01.pdf,11,1,5,2
2013p202xp02.pdf,11,1,11,0
2013p202ln.pdf,13,,,
2013p202lf.pdf,15,,,
2013p202lw.pdf,16,,,
2013p202qp.pdf,17,,,
2013p202xp.pdf,18,,,
