AssignmentID,StudentID,EarnedPoints,ExtraPoints,NoteID
1,1,1,,
1,2,1,,
1,3,1,,
1,4,1,,
1,5,1,,
1,6,,,
1,7,1,,
1,8,1,,
1,9,1,,
1,10,1,,
1,11,1,,
1,12,1,,
1,13,,,
1,14,1,,
1,15,1,,1
1,16,1,,
1,17,1,,
1,18,1,,
1,19,1,,
1,20,1,,
1,,,,
9,1,18,,
9,2,16,,
9,3,11,,
9,4,18,,
9,5,15,,
9,6,,,
9,7,17,,
9,8,11,,
9,9,19,,
9,10,11,,
9,11,16,,
9,12,14,,
9,13,,,
9,14,15,,
9,15,14,,
9,16,11,,
9,17,16,,
9,18,19,,
9,19,18,,
9,20,19,,
9,,,,
10,1,20,,
10,2,15,,
10,3,16,,
10,4,20,,
10,5,15,,
10,6,,,
10,7,15,,
10,8,,,
10,9,18,,
10,10,20,,
10,11,16,,
10,12,17,,
10,13,,,
10,14,15,,
10,15,17,,
10,16,20,,
10,17,17,,
10,18,16,,
10,19,20,,
10,20,20,,
2,1,1,,
2,2,1,,
2,3,1,,
2,4,1,,
2,5,1,,
2,6,,,
2,7,1,,
2,8,,,
2,9,1,,
2,10,,,2
2,11,1,,
2,12,1,,
2,13,,,
2,14,1,,
2,15,1,,
2,16,1,,
2,17,1,,
2,18,1,,
2,19,1,,
2,20,1,,
11,1,20,,
11,2,19,,
11,3,14,,
11,4,20,,
11,5,20,,
11,6,,,
11,7,20,,
11,8,12,,
11,9,20,,
11,10,20,,
11,11,16,,
11,12,18,,
11,13,,,
11,14,14,,
11,15,19,,
11,16,20,,
11,17,20,,
11,18,18,,
11,19,,,
11,20,20,,
3,1,1,,
3,2,1,,
3,3,1,,
3,4,1,,
3,5,1,,
3,6,,,
3,7,1,,
3,8,1,,
3,9,1,,
3,10,1,,
3,11,1,,
3,12,1,,
3,13,,,
3,14,1,,
3,15,1,,
3,16,1,,
3,17,1,,
3,18,1,,
3,19,,,
3,20,1,,
12,1,17,,
12,2,17,,
12,3,6,,
12,4,18,,
12,5,19,,
12,6,,,
12,7,19,,
12,8,17,,
12,9,17,,
12,10,17,,
12,11,17,,
12,12,18,,
12,13,,,
12,14,,,
12,15,17,,
12,16,20,,
12,17,18,,
12,18,17,,
12,19,18,,
12,20,17,,
5,1,1,,
5,2,1,,
5,3,1,,
5,4,1,,
5,5,1,,
5,6,,,
5,7,1,,
5,8,1,,
5,9,1,,
5,10,1,,
5,11,1,,
5,12,1,,
5,13,,,
5,14,,,
5,15,1,,
5,16,1,,
5,17,1,,
5,18,1,,
5,19,1,,
5,20,1,,
18,1,53,,
18,2,53,,
18,3,26,17,
18,4,57,,
18,5,58,,
18,6,,,
18,7,55,,
18,8,47,7,
18,9,52,4,
18,10,35,13,
18,11,48,,
18,12,44,8,
18,13,,,
18,14,45,8,
18,15,55,3,
18,16,55,,
18,17,51,5,
18,18,46,,
18,19,58,,
18,20,56,2,
14,1,19,,
14,2,17,,
14,3,13,,
14,4,18,,
14,5,20,,
14,6,,,
14,7,18,,
14,8,12,,
14,9,20,,
14,10,18,,
14,11,19,,
14,12,18,,
14,13,,,
14,14,16,,
14,15,20,,
14,16,18,,
14,17,18,,
14,18,18,,
14,19,16,,
14,20,20,,
6,1,1,,
6,2,1,,
6,3,1,,
6,4,1,,
6,5,1,,
6,6,,,
6,7,1,,
6,8,1,,
6,9,1,,
6,10,1,,
6,11,1,,
6,12,1,,
6,13,,,
6,14,1,,
6,15,1,,
6,16,1,,
6,17,1,,
6,18,1,,
6,19,1,,
6,20,1,,
15,1,19,,
15,2,18,,
15,3,19,,
15,4,20,,
15,5,18,,
15,6,,,
15,7,18,,
15,8,14,,
15,9,20,,
15,10,20,,
15,11,18,,
15,12,20,,
15,13,,,
15,14,18,,
15,15,20,,
15,16,20,,
15,17,19,,
15,18,20,,
15,19,18,,
15,20,16,,
7,1,1,,
7,2,1,,
7,3,1,,
7,4,1,,
7,5,1,,
7,6,,,
7,7,1,,
7,8,1,,
7,9,1,,
7,10,1,,
7,11,1,,
7,12,1,,
7,13,,,
7,14,1,,
7,15,1,,
7,16,1,,
7,17,1,,
7,18,1,,
7,19,1,,
7,20,1,,
16,1,18,,
16,2,16,,
16,3,11,,
16,4,18,,
16,5,15,,
16,6,,,
16,7,19,,
16,8,20,,
16,9,20,,
16,10,19,,
16,11,,,
16,12,20,,
16,13,,,
16,14,14,,
16,15,20,,
16,16,18,,
16,17,19,,
16,18,20,,
16,19,18,,
16,20,20,,
17,1,20,,
17,2,16,,
17,3,16,,
17,4,19,,
17,5,20,,
17,6,,,
17,7,20,,
17,8,16,,
17,9,20,,
17,10,17,,
17,11,,,
17,12,17,,
17,13,,,
17,14,19,,
17,15,20,,
17,16,,,
17,17,18,,
17,18,20,,
17,19,20,,
17,20,19,,
8,1,1,,
8,2,1,,
8,3,1,,
8,4,1,,
8,5,1,,
8,6,,,
8,7,1,,
8,8,1,,
8,9,1,,
8,10,1,,
8,11,,,
8,12,1,,
8,13,,,
8,14,1,,
8,15,1,,
8,16,,,
8,17,1,,
8,18,1,,
8,19,1,,
8,20,1,,
19,1,58,6,
19,2,52,6,
19,3,36,6,
19,4,57,6,
19,5,49,6,
19,6,,,
19,7,54,6,
19,8,47,6,
19,9,54,6,
19,10,40,6,
19,11,13,6,
19,12,42,6,
19,13,,,
19,14,48,6,
19,15,42,6,
19,16,42,6,
19,17,47,6,
19,18,43,6,
19,19,59,6,
19,20,58,6,
